Item #,Designator,Qty,Manufacturer,Mfg Part #,Description,Package
1,"C1, C2, C3, C4, C6, C7, C9, C11, C12, C16, C17",11,KEMET,C0603X104K5RAC3316,0.1µF ceramic capacitors,0603
2,R3,1,Vishay / Dale,RCC0603100RFKEA,100Ω resistor,0603
3,R11,1,Panasonic,ERJ-UP3D1002V,10kΩ resistor,0603
4,C10,1,KEMET,C0603C103K5RAC7013,"0.01uF/10nF/10,000pF ceramic capacitors",0603
5,C15,1,Murata Electronics,GRM188R61E106KA73D,10.0µF ceramic capacitors,0603
6,D1,1,Diodes Incorporated,1N4004-T,DIODE,DO41-10
7,"R1, R2, R4",3,Vishay / Dale,RCC06031K00FKEA,1kΩ resistor,0603
8,L2,1,Murata Electronics,LQW18AS33NJ0CD,Inductors,0603
9,C13,1,Taiyo Yuden,LMK107BJ475MAHT,4.7µF ceramic capacitors,0603
10,U2,1,Microchip Technology / Atmel,ATMEGA328P-AU,Popular 328P in QFP,TQFP32-08
11,LS1,1,TDK,SD1209T5-A1,Buzzer,BUZZER-12MM
12,Y2,1,Murata Electronics,CSTNE16M0V51Z000R0,Resonators 16.0MHz 5pF 0.5% Cer Res Thk Exp mode,CSTNE16M0V51Z000R0
13,DC1,1,Gravitech,CON-SOCJ-2155,DC Power Jack,DC-21MM
14,JP1,1,Harwin,M20-9770746,PIN HEADER,1X07
15,U1,1,FTDI,FT232RL-REEL,FT232RL USB UART,SSOP28DB
16,"C5, C8, C14",3,Murata Electronics,GRM31CR61A107ME05L,Multilayer Ceramic Capacitors MLCC - SMD/SMT 100UF   10V   20%         1206,CAPC3216X180N
17,ICSP,1,Harwin,M20-9980346,PIN HEADER,2X03
18,JP2,1,Harwin,M20-9990246,JUMPER,JP1
19,IC1,1,STMicroelectronics,L7805CV,VOLTAGE REGULATOR,78XXS
20,LCD,1,Harwin,M20-9770746,PIN HEADER,1X07
21,AC2,1,STMicroelectronics,LIS3DHTR,"Accelerometer 3-Axis 2g/16g 1.8V LGA16 STMicroelectronics LIS3DHTR Accelerometer IC, 3-axis, I2C, SPI 1.71  3.6 V, 16-Pin LGA",LIS3DHTR
22,IC2,1,Texas Instruments,LM1117IMP-3.3/NOPB,"LM1117IMP-3.3/NOPB, Low Dropout Voltage Regulator, 1.5A, 3.3 V +/-1%, 4-Pin SOT-223",SOT230P700X180-4N
23,PWR,1,VCC,LTH3MM12VFR4100,LED,LED3MM
24,S1,1,Omron Electronics,B3F-1000,OMRON SWITCH,B3F-10XX
25,RXLED,1,VCC,LTH3MM12VFR4500,LED,LED3MM
26,TXLED,1,VCC,LTH3MM12VFR4500,LED,LED3MM
27,J4,1,Amphenol FCI,61729-0010BLF,USB Type B Connector,USB-B-PTH
